Topic-1,Topic-2,Correlation
9207071-2,9601070-15,0.741
,,
9207071-2,9601070-15,0.741
,,
9207071-2,9601070-15,0.741
,,
9207071-5,9601070-15,0.767
,,
9207071-5,9601070-15,0.767
,,
9207071-5,9601070-15,0.767
,,
9207071-3,9601070-13,0.79
,,
9207071-3,9601070-15,0.817
,,
9207071-3,9601070-15,0.817
,,
9207071-3,9601070-15,0.817
,,
9207071-3,9601070-11,0.851
,,
9601070-15,9904105-18,0.692
,,
9601070-15,9904105-15,0.708
,,
9601070-15,9904105-19,0.732
,,
9601070-15,9904105-18,0.692
,,
9601070-15,9904105-15,0.708
,,
9601070-15,9904105-19,0.732
,,
9601070-13,9904105-2,0.639
,,
9601070-15,9904105-18,0.692
,,
9601070-15,9904105-15,0.708
,,
9601070-15,9904105-19,0.732
,,
9601070-11,9904105-2,0.683
,,
9904105-18,5187-6,0.519
,,
9904105-15,5187-19,0.656
,,
9904105-19,5187-16,0.522
,,
9904105-18,5187-6,0.519
,,
9904105-15,5187-19,0.656
,,
9904105-19,5187-16,0.522
,,
9904105-2,5187-3,0.613
,,
9904105-18,5187-6,0.519
,,
9904105-15,5187-19,0.656
,,
9904105-19,5187-16,0.522
,,
9904105-2,5187-3,0.613
,,
5187-6,105305-14,0.568
,,
5187-19,105305-14,0.616
,,
5187-16,105305-16,0.543
,,
5187-6,105305-14,0.568
,,
5187-19,105305-14,0.616
,,
5187-16,105305-16,0.543
,,
5187-3,105305-19,0.549
,,
5187-6,105305-14,0.568
,,
5187-19,105305-14,0.616
,,
5187-16,105305-16,0.543
,,
5187-3,105305-19,0.549
,,
105305-14,208087-9,0.508
,,
105305-14,208087-9,0.508
,,
105305-16,208087-6,0.621
,,
105305-14,208087-9,0.508
,,
105305-14,208087-9,0.508
,,
105305-16,208087-6,0.621
,,
105305-19,208087-9,0.567
,,
105305-14,208087-9,0.508
,,
105305-14,208087-9,0.508
,,
105305-16,208087-6,0.621
,,
105305-19,208087-9,0.567
,,
9410188-2,9503157-16,0.59
,,
9410188-2,9503157-16,0.59
,,
9410188-2,9503157-16,0.59
,,
9410188-2,9503157-16,0.59
,,
9410188-2,9503157-16,0.59
,,
9410188-2,9503157-16,0.59
,,
9410188-3,9503157-4,0.594
,,
9410188-3,9503157-4,0.594
,,
9410188-3,9503157-4,0.594
,,
9410188-3,9503157-4,0.594
,,
9410188-3,9503157-4,0.594
,,
9410188-3,9503157-4,0.594
,,
9410188-3,9503157-4,0.594
,,
9410188-3,9503157-4,0.594
,,
9410188-3,9503157-4,0.594
,,
9410188-3,9503157-4,0.594
,,
9410188-4,9503157-4,0.613
,,
9410188-4,9503157-4,0.613
,,
9410188-4,9503157-4,0.613
,,
9410188-4,9503157-4,0.613
,,
9410188-4,9503157-4,0.613
,,
9410188-4,9503157-4,0.613
,,
9410188-4,9503157-4,0.613
,,
9410188-4,9503157-4,0.613
,,
9410188-4,9503157-4,0.613
,,
9410188-4,9503157-4,0.613
,,
9410188-1,9503157-4,0.621
,,
9410188-1,9503157-4,0.621
,,
9410188-1,9503157-4,0.621
,,
9410188-1,9503157-4,0.621
,,
9410188-1,9503157-4,0.621
,,
9410188-1,9503157-4,0.621
,,
9410188-1,9503157-4,0.621
,,
9410188-1,9503157-4,0.621
,,
9410188-1,9503157-4,0.621
,,
9410188-1,9503157-4,0.621
,,
9410188-14,9503157-16,0.658
,,
9410188-14,9503157-16,0.658
,,
9410188-14,9503157-16,0.658
,,
9410188-14,9503157-16,0.658
,,
9410188-14,9503157-16,0.658
,,
9410188-14,9503157-16,0.658
,,
9503157-16,9709138-9,0.667
,,
9503157-16,9709138-9,0.667
,,
9503157-16,9709138-9,0.667
,,
9503157-16,9709138-9,0.667
,,
9503157-16,9709138-9,0.667
,,
9503157-16,9709138-9,0.667
,,
9503157-4,9709138-16,0.622
,,
9503157-4,9709138-16,0.622
,,
9503157-4,9709138-16,0.622
,,
9503157-4,9709138-7,0.702
,,
9503157-4,9709138-7,0.702
,,
9503157-4,9709138-15,0.704
,,
9503157-4,9709138-15,0.704
,,
9503157-4,9709138-15,0.704
,,
9503157-4,9709138-15,0.704
,,
9503157-4,9709138-15,0.704
,,
9503157-4,9709138-16,0.622
,,
9503157-4,9709138-16,0.622
,,
9503157-4,9709138-16,0.622
,,
9503157-4,9709138-7,0.702
,,
9503157-4,9709138-7,0.702
,,
9503157-4,9709138-15,0.704
,,
9503157-4,9709138-15,0.704
,,
9503157-4,9709138-15,0.704
,,
9503157-4,9709138-15,0.704
,,
9503157-4,9709138-15,0.704
,,
9503157-4,9709138-16,0.622
,,
9503157-4,9709138-16,0.622
,,
9503157-4,9709138-16,0.622
,,
9503157-4,9709138-7,0.702
,,
9503157-4,9709138-7,0.702
,,
